Timestamp,Fx,Fy,Fz,Tx,Ty,Tz
192332519742,-28.298847,-4.156961,-44.916763,-0.36560607,-110.08336,-39.210323
192332520769,-28.29973,-4.1596947,-44.92422,-0.37783012,-110.111404,-39.20119
192332521781,-28.299955,-4.159482,-44.925213,-0.38575363,-110.118965,-39.20274
192332522796,-28.298199,-4.1568336,-44.927696,-0.3971364,-110.12266,-39.19551
192332523775,-28.305454,-4.1561146,-44.93062,-0.404823,-110.105896,-39.196857
192332524777,-28.307985,-4.153215,-44.93625,-0.38398966,-110.082535,-39.19215
192332525799,-28.311281,-4.1455007,-44.923645,-0.36134338,-110.05061,-39.196594
192332526813,-28.31661,-4.1411304,-44.92086,-0.3663802,-110.030975,-39.18754
192332527825,-28.319036,-4.138624,-44.91466,-0.36793524,-109.99974,-39.18874
192332528849,-28.321808,-4.1321893,-44.904297,-0.3403196,-109.962135,-39.18735
192332529870,-28.320797,-4.1305275,-44.90062,-0.348717,-109.94029,-39.19297
192332530870,-28.317865,-4.129164,-44.89494,-0.34616297,-109.9227,-39.198025
192332531886,-28.31238,-4.1287913,-44.89515,-0.34708074,-109.91439,-39.20562
192332532881,-28.308535,-4.127648,-44.898357,-0.33549702,-109.910225,-39.20496
192332533882,-28.298065,-4.1245556,-44.90301,-0.3405729,-109.93954,-39.203846
192332534946,-28.29241,-4.1253815,-44.9082,-0.36550617,-109.963394,-39.197514
192332535929,-28.290863,-4.1289196,-44.921246,-0.36595014,-109.95662,-39.19
192332536881,-28.285913,-4.1267395,-44.92023,-0.35233444,-109.95388,-39.189346
192332537874,-28.284348,-4.125387,-44.92602,-0.33975154,-109.95185,-39.189518
192332538901,-28.27692,-4.1242485,-44.92943,-0.3340167,-109.969215,-39.181362
192332539936,-28.275227,-4.1259027,-44.932213,-0.33874422,-109.95115,-39.1815
192332540948,-28.273586,-4.1267805,-44.934525,-0.34723294,-109.94329,-39.16418
192332541982,-28.275076,-4.1253233,-44.937733,-0.3530334,-109.91892,-39.161495
192332542974,-28.280218,-4.1224337,-44.931854,-0.3320901,-109.86491,-39.166077
192332543946,-28.284813,-4.122507,-44.919636,-0.31466335,-109.80998,-39.1588
192332544962,-28.286331,-4.1219435,-44.90907,-0.30361226,-109.76022,-39.157032
192332545989,-28.281166,-4.1214013,-44.89955,-0.29064336,-109.75294,-39.13623
192332546986,-28.280544,-4.1237698,-44.90125,-0.29125103,-109.73158,-39.131145
192332548260,-28.27676,-4.12563,-44.899376,-0.30702937,-109.70931,-39.134182
192332549124,-28.274212,-4.133552,-44.913162,-0.3357398,-109.68574,-39.126846
192332550025,-28.267382,-4.137093,-44.913464,-0.34115326,-109.68916,-39.104366
192332551115,-28.265627,-4.136173,-44.919415,-0.33440554,-109.68042,-39.12619
192332552069,-28.265118,-4.1378613,-44.92797,-0.34432915,-109.67339,-39.114605
192332553177,-28.259668,-4.139978,-44.937653,-0.35264024,-109.69088,-39.107407
192332554189,-28.254614,-4.1425457,-44.946465,-0.35792756,-109.68623,-39.108883
192332555155,-28.251478,-4.1425724,-44.95151,-0.34603444,-109.68934,-39.106815
192332556117,-28.25517,-4.144489,-44.96364,-0.35296106,-109.65933,-39.117966
192332557208,-28.252672,-4.141544,-44.957375,-0.32883528,-109.656746,-39.120106
192332558218,-28.2522,-4.144968,-44.95473,-0.31428412,-109.63052,-39.12294
192332559179,-28.254463,-4.142571,-44.946037,-0.29080674,-109.60123,-39.126587
192332560123,-28.260412,-4.1386194,-44.93897,-0.26070476,-109.54904,-39.13393
192332561167,-28.263409,-4.1381664,-44.927925,-0.23826669,-109.503784,-39.122616
192332562099,-28.264116,-4.139598,-44.917084,-0.22041428,-109.48515,-39.121357
192332563166,-28.265078,-4.138593,-44.914017,-0.21672538,-109.465935,-39.130356
192332564184,-28.268726,-4.1364017,-44.910725,-0.2092841,-109.45073,-39.11823
192332565198,-28.264067,-4.137485,-44.911663,-0.20923302,-109.45829,-39.130672
192332566228,-28.26123,-4.1421056,-44.910816,-0.20928098,-109.48242,-39.132202
192332567175,-28.262375,-4.1467104,-44.91937,-0.2219384,-109.48035,-39.121284
192332568210,-28.259254,-4.1454415,-44.93001,-0.22725798,-109.49932,-39.102245
192332569225,-28.258173,-4.1469927,-44.936024,-0.24366133,-109.51773,-39.10088
192332570416,-28.2572,-4.148983,-44.944668,-0.25923812,-109.54075,-39.09724
192332571413,-28.255104,-4.1493077,-44.95083,-0.26341134,-109.56215,-39.09863
192332572444,-28.255985,-4.1497235,-44.946903,-0.24965186,-109.57311,-39.108498
192332573428,-28.256287,-4.1537666,-44.93891,-0.25043058,-109.59437,-39.10121
192332574370,-28.25737,-4.1596003,-44.93608,-0.25115216,-109.60342,-39.115147
192332575370,-28.264532,-4.159654,-44.927513,-0.24760923,-109.595535,-39.105583
192332576415,-28.267982,-4.156197,-44.916008,-0.22671564,-109.58491,-39.10103
192332577410,-28.26944,-4.1538444,-44.90809,-0.20688638,-109.57681,-39.117573
192332578419,-28.275934,-4.1572847,-44.886066,-0.20583305,-109.587135,-39.128544
192332579405,-28.280758,-4.1602907,-44.87103,-0.19238168,-109.58158,-39.139145
192332580397,-28.283915,-4.1630483,-44.87006,-0.16889977,-109.59178,-39.150608
192332581492,-28.285572,-4.1634655,-44.867615,-0.16218148,-109.61252,-39.146507
192332582470,-28.282782,-4.1678786,-44.873894,-0.16355547,-109.64567,-39.14997
192332583451,-28.280037,-4.1719036,-44.887,-0.16353607,-109.677124,-39.160645
192332584386,-28.279058,-4.171222,-44.896187,-0.1559298,-109.722725,-39.158558
192332585390,-28.27421,-4.1766744,-44.901012,-0.15159018,-109.77656,-39.16229
192332586450,-28.273922,-4.1811624,-44.905178,-0.16710502,-109.80725,-39.16795
192332587384,-28.276476,-4.1875515,-44.909374,-0.18103288,-109.83844,-39.17056
192332588456,-28.275026,-4.1889277,-44.916157,-0.1653533,-109.85725,-39.178593
192332589359,-28.273687,-4.188877,-44.915016,-0.15163235,-109.902145,-39.171864
192332590374,-28.273397,-4.1906323,-44.90928,-0.14597394,-109.942825,-39.173122
192332591390,-28.273098,-4.1975317,-44.909477,-0.15017949,-109.97507,-39.18758
192332592441,-28.27995,-4.1967897,-44.90273,-0.12681286,-109.98514,-39.182278
192332593437,-28.287382,-4.1945043,-44.8835,-0.094540514,-109.96627,-39.176563
192332594436,-28.28888,-4.195337,-44.865448,-0.093574345,-109.96897,-39.185383
192332595450,-28.296553,-4.1955175,-44.849945,-0.096876115,-109.94582,-39.181255
192332596499,-28.300636,-4.19543,-44.838898,-0.09763344,-109.936134,-39.1924
192332597454,-28.304281,-4.1957455,-44.836296,-0.10149837,-109.93582,-39.20055
192332598461,-28.304262,-4.196833,-44.845325,-0.11018808,-109.97222,-39.19427
192332599466,-28.300165,-4.202106,-44.85764,-0.13155916,-110.01061,-39.208427
192332600476,-28.294937,-4.20234,-44.861935,-0.1579092,-110.04086,-39.211643
192332601488,-28.296974,-4.205275,-44.86318,-0.18953197,-110.059,-39.205997
192332602462,-28.292395,-4.20934,-44.869167,-0.23742127,-110.09695,-39.217422
192332603491,-28.292181,-4.212026,-44.876717,-0.27845755,-110.13581,-39.210785
192332604544,-28.293497,-4.210547,-44.884808,-0.28668568,-110.14864,-39.2183
192332605553,-28.29132,-4.2079644,-44.899467,-0.29153162,-110.16984,-39.23241
192332606554,-28.291393,-4.2070413,-44.90683,-0.31033644,-110.195724,-39.23209
192332607550,-28.286325,-4.2062187,-44.904007,-0.32210785,-110.229225,-39.234047
192332608577,-28.292206,-4.202552,-44.897633,-0.32395083,-110.20481,-39.24332
192332609565,-28.299084,-4.1942368,-44.88581,-0.3218826,-110.175255,-39.242317
192332610521,-28.309647,-4.1889386,-44.87813,-0.30930078,-110.140594,-39.236614
192332611576,-28.31617,-4.1798854,-44.872265,-0.29270217,-110.102325,-39.244625
192332612597,-28.317715,-4.172469,-44.872135,-0.28578523,-110.09025,-39.23853
192332613692,-28.317736,-4.1667295,-44.8697,-0.27294564,-110.06034,-39.248356
192332614631,-28.31667,-4.165743,-44.875595,-0.28087702,-110.04508,-39.248165
192332615573,-28.314325,-4.167773,-44.881527,-0.29610446,-110.04875,-39.249165
192332616624,-28.31146,-4.167196,-44.890606,-0.3039589,-110.04143,-39.24101
192332617594,-28.309597,-4.1654377,-44.90334,-0.3132546,-110.021515,-39.22316
192332618610,-28.304049,-4.163574,-44.91783,-0.32330257,-110.0228,-39.2174
192332619670,-28.29718,-4.168433,-44.93585,-0.3428293,-110.03889,-39.217365
192332620668,-28.291384,-4.168844,-44.945824,-0.3570643,-110.03324,-39.226067
192332621669,-28.28144,-4.1682687,-44.951004,-0.3615298,-110.055504,-39.21109
192332622777,-28.28221,-4.168316,-44.95156,-0.36147514,-110.03647,-39.196877
192332623680,-28.282663,-4.167753,-44.957066,-0.3738162,-110.02212,-39.198174
192332624649,-28.281853,-4.1652603,-44.952904,-0.37395468,-110.007545,-39.197815
192332625701,-28.282635,-4.1604877,-44.94437,-0.37264818,-109.97199,-39.192265
192332626735,-28.283115,-4.1556005,-44.940376,-0.3559878,-109.93635,-39.197517
192332627725,-28.28432,-4.151243,-44.933937,-0.33383682,-109.88939,-39.197983
192332628723,-28.285059,-4.146133,-44.91185,-0.31943572,-109.84821,-39.203976
192332629817,-28.286213,-4.1364093,-44.897095,-0.30179012,-109.79622,-39.1984
192332630759,-28.286612,-4.1344476,-44.89479,-0.30419233,-109.76997,-39.186848
