Timestamp,Fx,Fy,Fz,Tx,Ty,Tz
440614193771,-26.710865,-4.339831,-49.621643,-3.3076158,-117.88981,-38.187057
440614194820,-26.708992,-4.339987,-49.623974,-3.3139083,-117.88543,-38.18272
440614195829,-26.709274,-4.337499,-49.63508,-3.3126462,-117.8915,-38.169373
440614196821,-26.70474,-4.3403354,-49.63632,-3.337747,-117.88455,-38.171036
440614197831,-26.704142,-4.3377767,-49.639122,-3.3349159,-117.884315,-38.17129
440614198834,-26.706669,-4.339319,-49.64803,-3.3293188,-117.85894,-38.166058
440614199883,-26.705488,-4.338703,-49.6505,-3.3249419,-117.84719,-38.180832
440614200872,-26.702961,-4.3399057,-49.65906,-3.3313634,-117.844376,-38.17091
440614201861,-26.704496,-4.338881,-49.65958,-3.3222296,-117.82409,-38.17372
440614202887,-26.708242,-4.334032,-49.655407,-3.2985597,-117.79586,-38.16954
440614203884,-26.701216,-4.3332815,-49.654984,-3.2857351,-117.79994,-38.166004
440614204942,-26.699135,-4.338935,-49.655704,-3.2724857,-117.7925,-38.163197
440614205913,-26.69447,-4.340093,-49.652138,-3.2672334,-117.788216,-38.17854
440614206920,-26.69236,-4.339948,-49.658993,-3.2633967,-117.80328,-38.174
440614207935,-26.693161,-4.342805,-49.65934,-3.27238,-117.787094,-38.159847
440614208905,-26.690174,-4.3403006,-49.6563,-3.261167,-117.7843,-38.151333
440614209930,-26.689426,-4.3419867,-49.654774,-3.2502174,-117.78233,-38.128433
440614210967,-26.68657,-4.3388567,-49.648518,-3.2293446,-117.77359,-38.114754
440614211992,-26.68675,-4.3383527,-49.654488,-3.2171848,-117.759544,-38.1099
440614213189,-26.683542,-4.3397803,-49.66398,-3.208499,-117.76341,-38.104973
440614214500,-26.689098,-4.3402042,-49.664463,-3.2042067,-117.7445,-38.094223
440614215197,-26.69186,-4.3382483,-49.66363,-3.2119868,-117.74344,-38.099083
440614216150,-26.695292,-4.3408523,-49.656944,-3.2246401,-117.74136,-38.09592
440614217118,-26.701944,-4.3422756,-49.655327,-3.2147186,-117.70988,-38.09749
440614218448,-26.699495,-4.3435054,-49.65236,-3.2162013,-117.72608,-38.095013
440614219447,-26.700315,-4.3444643,-49.6486,-3.215648,-117.74572,-38.10212
440614220343,-26.697405,-4.342503,-49.64579,-3.203309,-117.77016,-38.1145
440614222230,-26.702852,-4.3488464,-49.64736,-3.21204,-117.764565,-38.13546
440614222239,-26.707212,-4.3506083,-49.639183,-3.2288547,-117.764275,-38.136272
440614223116,-26.712412,-4.352757,-49.638695,-3.2421212,-117.755714,-38.145382
440614224206,-26.714659,-4.3560495,-49.633698,-3.237736,-117.766556,-38.151516
440614227163,-26.713173,-4.3567367,-49.62988,-3.2342346,-117.76733,-38.14629
440614227180,-26.714437,-4.356439,-49.626385,-3.2197325,-117.76319,-38.137188
440614227225,-26.71176,-4.359752,-49.615543,-3.2128937,-117.783806,-38.130554
440614228202,-26.710949,-4.3612366,-49.617508,-3.2132874,-117.79723,-38.14137
440614229169,-26.7139,-4.364816,-49.620945,-3.2160969,-117.79106,-38.131355
440614230186,-26.720102,-4.370394,-49.626644,-3.230521,-117.770805,-38.13429
440614231241,-26.718548,-4.368063,-49.63253,-3.2324276,-117.79305,-38.132435
440614232398,-26.715624,-4.373147,-49.63168,-3.2281563,-117.80682,-38.150707
440614233417,-26.714832,-4.3771405,-49.624763,-3.245056,-117.833145,-38.160324
440614234574,-26.714506,-4.374236,-49.622604,-3.231387,-117.847015,-38.158752
440614235435,-26.714687,-4.374199,-49.622696,-3.2115803,-117.86576,-38.160366
440614236766,-26.71331,-4.3789306,-49.628384,-3.2072248,-117.88996,-38.158752
440614237429,-26.714172,-4.3783927,-49.63319,-3.2043061,-117.90376,-38.15473
440614238460,-26.716633,-4.379731,-49.63506,-3.1891665,-117.903145,-38.164528
440614239514,-26.716005,-4.3760853,-49.630234,-3.1803799,-117.90987,-38.186626
440614240322,-26.714586,-4.376554,-49.61883,-3.1818824,-117.91925,-38.193695
440614241332,-26.71351,-4.3778105,-49.610756,-3.1722252,-117.92057,-38.197247
440614242434,-26.71194,-4.3774495,-49.617374,-3.1598465,-117.93792,-38.180202
440614244380,-26.713602,-4.3759136,-49.621616,-3.1429553,-117.9304,-38.170956
440614244399,-26.711393,-4.382033,-49.624767,-3.1734786,-117.945885,-38.187622
440614245726,-26.709358,-4.3882265,-49.62384,-3.2086506,-117.95327,-38.20625
440614246708,-26.714096,-4.3868303,-49.61909,-3.2150757,-117.941216,-38.213615
440614247478,-26.714445,-4.38354,-49.616528,-3.2089243,-117.92674,-38.228855
